İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
29 Ekim 2023,Mercedes - Benz,E,220 D AMG,2016,215.000 km,Otomatik,Dizel,Sedan,Siyah,1950 cc,194 hp,4.3 lt,3 değişen. 1 boyalı,Tramer  60.891 TL,240 km/s,2.400.000 TL
29 Ekim 2023,Audi,A3,A3 Sportback 1.6 TDI Ambition,2013,218.000 km,Otomatik,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1598 cc,105 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,975.000 TL
29 Ekim 2023,Volkswagen,Polo,1.0 TSi Highline,2018,46.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,95 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,187 km/s,936.750 TL
29 Ekim 2023,Volkswagen,Golf,1.6 Pacific,2004,305.000 km,Düz,LPG & Benzin,Hatchback/5,Bordo,1595 cc,105 hp,6.8 lt,1 değişen. 7 boyalı,Tramer tutarı yok,192 km/s,435.000 TL
29 Ekim 2023,Ford,Fiesta,1.4 Comfort,2006,255.000 km,Düz,LPG & Benzin,Hatchback/3,Gri (Gümüş),1388 cc,80 hp,6.4 lt,1 değişen. 4 boyalı,Tramer  2.342 TL,167 km/s,465.000 TL
29 Ekim 2023,Toyota,Corolla,1.6 XEi,1996,262.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1587 cc,105 hp,,1 değişen. 5 boyalı,Tramer tutarı Belirtilmemiş,195 km/s,430.000 TL
29 Ekim 2023,Hyundai,Getz,1.4 DOHC Start,2009,90.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1399 cc,97 hp,6 lt,1 değişen. 3 boyalı,Tramer  1.000 TL,170 km/s,535.000 TL
29 Ekim 2023,BMW,Z Serisi,Z4 2.0,2007,152.000 km,Düz,Benzin,Cabrio,Gri,1995 cc,150 hp,7.5 lt,3 boyalı,Tramer  5.000 TL,220 km/s,875.000 TL
29 Ekim 2023,MINI,Cooper,1.6,2009,157.000 km,Düz,Benzin,Hatchback/3. 4 Koltuk,Kırmızı,1598 cc,120 hp,5.8 lt,Tamamı orjinal,Tramer  750 TL,203 km/s,600.000 TL
29 Ekim 2023,BMW,3 Serisi,320i ED Sport Line,2015,130.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Beyaz,1598 cc,170 hp,5.3 lt,Tamamı orjinal,Tramer tutarı yok,230 km/s,1.395.000 TL
29 Ekim 2023,Opel,Insignia,1.6 CDTI Design,2017,110.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,200 km/s,910.000 TL
29 Ekim 2023,Hyundai,i20,1.4 MPI Elite,2016,105.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,6.4 lt,4 boyalı,Tramer  3.000 TL,170 km/s,725.000 TL
29 Ekim 2023,Fiat,Tempra,1.6 SX,1992,175.000 km,Düz,LPG & Benzin,Sedan,Yeşil,1581 cc,75 hp,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,195.000 TL
29 Ekim 2023,Volkswagen,Polo,1.4 TDi Comfortline,2014,160.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,3.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,184 km/s,489.000 TL
29 Ekim 2023,Nissan,Micra,1.2 Tekna,2008,212.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Mavi (metalik),1240 cc,80 hp,5.9 lt,Belirtilmemiş,Tramer  2.000 TL,167 km/s,439.000 TL
29 Ekim 2023,Mercedes - Benz,S,S 320 320 CDI L,2008,395.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,235 hp,8.9 lt,Belirtilmemiş,Tramer tutarı yok,250 km/s,2.650.000 TL
29 Ekim 2023,Audi,A6,A6 Sedan 2.0 TFSI Quattro,2017,43.450 km,Yarı Otomatik,Benzin,Sedan,Gri,1984 cc,252 hp,6.9 lt,Tamamı orjinal,Tramer tutarı yok,250 km/s,2.709.900 TL
29 Ekim 2023,Toyota,Corolla,1.6 Terra,2006,260.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Gri (Gümüş),1598 cc,110 hp,6.5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,600.000 TL
29 Ekim 2023,Renault,Symbol,1.4 Expression,2009,263.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,75 hp,7.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,170 km/s,450.000 TL
29 Ekim 2023,Renault,Fluence,1.5 dCi Touch,2015,148.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461 cc,110 hp,4.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,185 km/s,727.000 TL
29 Ekim 2023,Renault,Symbol,1.5 dCi Joy,2017,126.500 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1461 cc,90 hp,3.9 lt,3 boyalı,Tramer tutarı yok,167 km/s,545.000 TL
29 Ekim 2023,Dacia,Lodgy,1.5 dCi Stepway,2015,154.000 km,Düz,Dizel,MPV,Füme,1461 cc,110 hp,4.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,175 km/s,717.500 TL
29 Ekim 2023,Renault,Fluence,1.5 dCi Touch Plus,2015,148.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461 cc,110 hp,4.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,727.000 TL
29 Ekim 2023,Jaguar,X-Type,2.0 D High,2006,299.000 km,Düz,Dizel,Sedan. 5 Koltuk,Şampanya,1998 cc,130 hp,5.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,201 km/s,579.000 TL
29 Ekim 2023,Renault,Fluence,1.5 dCi Touch,2015,149.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,4.5 lt,3 değişen. 1 boyalı,Tramer  7.500 TL,180 km/s,637.000 TL
29 Ekim 2023,Renault,Symbol,1.5 dCi Joy,2015,175.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1461 cc,75 hp,3.9 lt,1 değişen. 1 boyalı,Tramer  51.500 TL,164 km/s,452.500 TL
29 Ekim 2023,Honda,Jazz,1.4 Joy,2009,136.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1339 cc,100 hp,5.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,182 km/s,619.750 TL
29 Ekim 2023,Volkswagen,Golf,1.6 TDi Comfortline,2010,310.000 km,Yarı Otomatik,Dizel,Hatchback/5. 5 Koltuk,Füme,1598 cc,105 hp,4.7 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,189 km/s,570.000 TL
29 Ekim 2023,Skoda,SuperB,1.6 TDI Prestige,2020,98.500 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,4.2 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,205 km/s,1.700.000 TL
29 Ekim 2023,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,68.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,206 km/s,1.710.000 TL
29 Ekim 2023,Citroen,C3 Picasso,1.6 HDi SX,2009,289.000 km,Düz,Dizel,MPV,Beyaz,1560 cc,91 hp,4.7 lt,2 değişen. 7 boyalı,Tramer tutarı Belirtilmemiş,173 km/s,475.000 TL
29 Ekim 2023,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017,165.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,4.6 lt,1 değişen,Tramer  15.000 TL,190 km/s,650.000 TL
29 Ekim 2023,Toyota,Yaris,1.0 Terra,2004,101.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Gri (Gümüş),998 cc,65 hp,5.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,155 km/s,465.000 TL
29 Ekim 2023,Renault,Clio,1.4 Dynamique,2004,257.000 km,Otomatik,LPG & Benzin,Hatchback/5. 5 Koltuk,Yeşil (metalik),1390 cc,98 hp,6.7 lt,1 değişen. 3 boyalı,Tramer  8.000 TL,183 km/s,410.000 TL
29 Ekim 2023,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,118.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,206 km/s,1.610.000 TL
29 Ekim 2023,Hyundai,i20,1.4 MPI Jump,2021,25.000 km,Düz,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,5.7 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,176 km/s,791.000 TL
29 Ekim 2023,Mercedes - Benz,E,230 Elegance,1997,345.000 km,Düz,LPG & Benzin,Sedan,Füme,2295 cc,150 hp,9.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,215 km/s,565.000 TL
29 Ekim 2023,Toyota,Corolla,1.4 D-4D Touch,2018,120.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,890.000 TL
29 Ekim 2023,Chevrolet,Aveo,1.4 SX,2009,83.000 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Siyah,1399 cc,100 hp,6.8 lt,1 değişen. 4 boyalı,Tramer  4.000 TL,175 km/s,499.900 TL
29 Ekim 2023,Hyundai,Accent,1.5 1.5i GLS,2000,307.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1495 cc,102 hp,6.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,173 km/s,260.000 TL
29 Ekim 2023,Nissan,Micra,1.2 Tekna,2008,25.000 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Mavi (metalik),1240 cc,80 hp,6.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,145 km/s,465.000 TL
29 Ekim 2023,Nissan,Micra,1.2 Passion,2008,58.000 km,Otomatik,LPG & Benzin,Hatchback/5,Yeşil,1240 cc,80 hp,6.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,145 km/s,435.000 TL
29 Ekim 2023,Fiat,Egea,1.4 Fire Easy,2020,18.000 km,Düz,Benzin,Sedan. 5 Koltuk,Gri,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,185 km/s,640.000 TL
29 Ekim 2023,Mazda,323,1.6 GLX,1992,200.000 km,Otomatik,LPG & Benzin,Sedan,Kırmızı,1401/1600 cm3,76/100 HP,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,224.500 TL
29 Ekim 2023,Fiat,Egea,1.4 Fire Easy,2022,34.500 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,186 km/s,655.000 TL
29 Ekim 2023,Fiat,Linea,1.4 Fire Active Plus,2014,53.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,77 hp,6.3 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,165 km/s,550.000 TL
29 Ekim 2023,Volkswagen,Passat,1.5 TSi Business,2020,86.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1498 cc,150 hp,5.3 lt,Tamamı orjinal,Tramer tutarı yok,213 km/s,1.450.000 TL
29 Ekim 2023,Hyundai,Accent,1.5 CRDi Admire,2004,227.000 km,Düz,Dizel,Sedan,Gri (metalik),1493 cc,82 hp,5.5 lt,6 boyalı,Tramer tutarı yok,170 km/s,288.000 TL
29 Ekim 2023,Fiat,Punto,Grande 1.3 Multijet Active,2006,365.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri,1248 cc,75 hp,4.5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,165 km/s,345.000 TL
29 Ekim 2023,Fiat,Linea,1.3 Multijet Urban,2015,132.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,4.9 lt,1 değişen. 2 boyalı,Tramer tutarı Belirtilmemiş,170 km/s,548.000 TL
29 Ekim 2023,Ford,Focus,1.6 TDCi Collection,2010,345.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,90 hp,4.7 lt,2 değişen. 4 boyalı,Tramer tutarı Belirtilmemiş,179 km/s,478.800 TL
29 Ekim 2023,Hyundai,Accent,1.5 CRDi Admire,2005,231.000 km,Düz,Dizel,Sedan,Bej,1493 cc,82 hp,5.5 lt,Belirtilmemiş,Tramer  1.500 TL,170 km/s,359.900 TL
29 Ekim 2023,Toyota,Auris,1.4 D-4D Comfort Plus,2011,133.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1364 cc,90 hp,5 lt,1 değişen. 4 boyalı,Tramer  13.000 TL,175 km/s,655.000 TL
29 Ekim 2023,Fiat,Punto,Grande 1.3 Multijet Dynamic,2008,317.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,90 hp,4.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,390.000 TL
29 Ekim 2023,Volkswagen,Jetta,1.6 TDi Comfortline,2013,204.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Gri,1598 cc,105 hp,4.7 lt,3 değişen. 6 boyalı,Tramer  29.087 TL,190 km/s,627.000 TL
29 Ekim 2023,Mercedes - Benz,S,S 320 320 CDI,2006,402.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,235 hp,8.5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,250 km/s,1.850.000 TL
29 Ekim 2023,Hyundai,Accent Era,1.5 CRDi-VGT Select,2009,214.000 km,Düz,Dizel,Sedan,Mavi (metalik),1493 cc,110 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,176 km/s,485.000 TL
29 Ekim 2023,Opel,Vectra,1.6 Comfort,2004,260.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Mavi (metalik),1598 cc,100 hp,7.5 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,192 km/s,450.000 TL
29 Ekim 2023,Dacia,Sandero,1.5 dCi Stepway,2016,108.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,3.8 lt,3 boyalı,Tramer  6.000 TL,166 km/s,675.000 TL
29 Ekim 2023,Opel,Astra,1.3 CDTI Enjoy Plus,2012,285.000 km,Düz,Dizel,Sedan,Gri,1201/1400 cm3,101/125 HP,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,505.000 TL
30 Ekim 2023,Dacia,Logan,1.5 dCi MCV Ambiance,2015,190.000 km,Düz,Dizel,Station wagon,Beyaz,1461 cc,75 hp,3.9 lt,5 boyalı,Tramer  3.000 TL,164 km/s,535.000 TL
30 Ekim 2023,Volkswagen,Polo,1.6 TDi Comfortline,2011,234.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1598 cc,90 hp,4.2 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,180 km/s,580.000 TL
30 Ekim 2023,Volkswagen,Golf,1.6 TDi Trendline,2012,250.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (Gümüş),1598 cc,90 hp,4.5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,178 km/s,560.000 TL
30 Ekim 2023,Volkswagen,Polo,1.6 TDi Comfortline,2012,185.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Siyah,1598 cc,90 hp,4.2 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,180 km/s,615.000 TL
30 Ekim 2023,Renault,Megane,1.5 dCi Icon,2017,84.500 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,110 hp,3.8 lt,5 boyalı,Tramer tutarı yok,190 km/s,925.000 TL
30 Ekim 2023,Hyundai,i20,1.4 MPI Elite,2016,26.500 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,6.4 lt,Belirtilmemiş,Tramer tutarı yok,170 km/s,847.000 TL
30 Ekim 2023,Citroen,C-Elysee,1.6 HDi Shine,2017,218.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,4.1 lt,3 boyalı,Tramer tutarı belirtilmemiş,180 km/s,495.900 TL
30 Ekim 2023,Mercedes - Benz,C,C 180 AMG,2018,190.120 km,Otomatik,Benzin,Coupe,Siyah,156 cc,1600 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,1.955.000 TL
30 Ekim 2023,Volkswagen,Golf,1.6 TDi Comfortline,2018,138.000 km,Otomatik,Dizel,Hatchback/3,Beyaz,1598 cc,115 hp,,2 boyalı,Tramer tutarı Belirtilmemiş,,1.015.000 TL
30 Ekim 2023,Ford,Focus,1.5 TDCi Trend X,2017,95.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,4.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,193 km/s,775.000 TL
30 Ekim 2023,Mercedes - Benz,E,300 AMG,2017,128.000 km,Otomatik,Benzin,Coupe,Siyah,1991 cc,245 hp,7 lt,3 boyalı,Tramer tutarı Belirtilmemiş,250 km/s,3.150.000 TL
30 Ekim 2023,Volkswagen,New Beetle,1.2 TSi Design,2013,119.928 km,Yarı Otomatik,Benzin,Hatchback/3,Kırmızı,1197 cc,105 hp,5.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,180 km/s,995.000 TL
30 Ekim 2023,Skoda,Octavia,1.5 e-Tec Elite,2021,111.233 km,Otomatik,Hibrit,Sedan,Gri,1401/1600 cm3,126/150 HP,,2 boyalı,Tramer  18.506 TL,,1.295.000 TL
30 Ekim 2023,Renault,Fluence,1.5 dCi Touch,2015,190.714 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,4.5 lt,2 değişen. 4 boyalı,Tramer  13.464 TL,180 km/s,645.000 TL
30 Ekim 2023,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,29.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer tutarı yok,206 km/s,1.635.000 TL
30 Ekim 2023,Skoda,Octavia,1.6 TDI Style,2019,146.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,3.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,202 km/s,999.750 TL
30 Ekim 2023,Renault,Clio,1.0 TCe Touch,2020,98.750 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Beyaz,999 cc,100 hp,5 lt,1 boyalı,Tramer tutarı belirtilmemiş,182 km/s,839.900 TL
30 Ekim 2023,Audi,A5,A5 Coupe 1.4 TFSI Design,2017,72.000 km,Yarı Otomatik,Benzin,Coupe,Siyah,1395 cc,150 hp,5.3 lt,2 boyalı,Tramer tutarı Belirtilmemiş,216 km/s,1.905.000 TL
30 Ekim 2023,Volvo,S90,2.0 D B5 Plus Bright,2022,20.443 km,Otomatik,Hibrit,Sedan,Mavi,1801/2000 cm3,226/250 HP,,Tamamı orjinal,Tramer tutarı yok,,3.750.000 TL
30 Ekim 2023,Hyundai,i20,1.4 CRDi Jump,2013,234.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1396 cc,90 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,174 km/s,430.000 TL
30 Ekim 2023,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2009,208.000 km,Yarı Otomatik,Benzin,Hatchback/3,Siyah,1390 cc,125 hp,5.7 lt,6 boyalı,Tramer tutarı Belirtilmemiş,203 km/s,594.900 TL
30 Ekim 2023,Fiat,Siena,1.4 EL,2000,240.000 km,Düz,LPG & Benzin,Sedan,Gri,1372 cc,71 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,170 km/s,270.000 TL
30 Ekim 2023,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,171.177 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer  365 TL,206 km/s,1.090.000 TL
30 Ekim 2023,Toyota,Corolla,1.4 D-4D Advance,2017,159.798 km,Düz,Dizel,Sedan,Gri,1364 cc,90 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,815.000 TL
30 Ekim 2023,Kia,Ceed,1.6 CRDi Concept,2011,236.000 km,Otomatik,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1582 cc,128 hp,5.9 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,186 km/s,525.000 TL
30 Ekim 2023,Peugeot,508,1.6 e-HDi Active,2012,287.000 km,Yarı Otomatik,Dizel,Station wagon,Siyah,1560 cc,114 hp,4.4 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,194 km/s,648.000 TL
30 Ekim 2023,Volkswagen,Scirocco,1.4 TSi Sportline,2011,148.000 km,Yarı Otomatik,Benzin,Coupe. 4 Koltuk,Beyaz,1390 cc,160 hp,6.3 lt,2 değişen. 3 boyalı,Tramer  9.000 TL,218 km/s,660.000 TL
30 Ekim 2023,Mercedes - Benz,200,CE,1987,250.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1996 cc,121 hp,11.7 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,185.500 TL
30 Ekim 2023,Volkswagen,Golf,1.6 TDi Trendline,2012,361.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (Gümüş),1598 cc,105 hp,4.5 lt,2 değişen. 6 boyalı,Bu araç ağır hasar kayıtlıdır.,189 km/s,485.000 TL
30 Ekim 2023,Opel,Astra,1.3 CDTI Enjoy,2010,274.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1248 cc,90 hp,5 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,174 km/s,459.000 TL
30 Ekim 2023,Skoda,Octavia,1.6 TDI Style CR,2018,173.000 km,Otomatik,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1598 cc,110 hp,3.7 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,195 km/s,1.069.000 TL
30 Ekim 2023,Volkswagen,Jetta,1.6 TDi Trendline,2015,266.000 km,Otomatik,Dizel,Sedan. 5 Koltuk,Beyaz,1598 cc,105 hp,4.7 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,190 km/s,855.000 TL
30 Ekim 2023,Mercedes - Benz,E,250 CGI Elite,2012,262.000 km,Otomatik,Benzin,Sedan,Beyaz,1796 cc,204 hp,7.6 lt,2 değişen. 1 boyalı,Tramer  25.692 TL,241 km/s,1.425.000 TL
30 Ekim 2023,Citroen,C4,1.6 HDi Confort,2012,384.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1560 cc,114 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,458.000 TL
30 Ekim 2023,Mercedes - Benz,230,E,1986,282.000 km,Düz,LPG & Benzin,Sedan,Bej,2299 cc,132 hp,,Tamamı orjinal,Tramer tutarı yok,,220.750 TL
30 Ekim 2023,Peugeot,301,1.6 BlueHDI Allure,2018,44.000 km,Düz,Dizel,Sedan,Gri (titanyum),1560 cc,102 hp,3.9 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,183 km/s,735.900 TL
30 Ekim 2023,Fiat,Egea,1.6 E-Torq Lounge Plus,2017,50.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1598 cc,110 hp,6.3 lt,1 boyalı,Tramer tutarı Belirtilmemiş,192 km/s,830.000 TL
30 Ekim 2023,Renault,Clio,0.9 TCe Sport Tourer Joy,2020,84.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,898 cc,90 hp,5.1 lt,1 değişen,Tramer tutarı yok,178 km/s,611.750 TL
30 Ekim 2023,Renault,Clio,0.9 TCe Joy,2020,82.000 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,619.750 TL
30 Ekim 2023,Renault,Clio,0.9 TCe Joy,2020,67.000 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,631.750 TL
30 Ekim 2023,Volkswagen,Golf,1.5 eTSI R Line,2023,6.020 km,Yarı Otomatik,Hibrit,Hatchback/5,Beyaz,1498 cc,150 hp,5.3 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,224 km/s,1.740.000 TL
30 Ekim 2023,Opel,Astra,1.6 Essentia,2012,170.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,115 hp,6.3 lt,1 değişen. 3 boyalı,Tramer  2.000 TL,192 km/s,545.000 TL
30 Ekim 2023,Volkswagen,Passat,1.4 TSi Exclusive,2009,386.000 km,Otomatik,Benzin,Sedan,Gri (titanyum),1390 cc,122 hp,6.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,203 km/s,720.000 TL
30 Ekim 2023,Volkswagen,Jetta,1.2 TSi Comfortline,2012,225.000 km,Düz,Benzin,Sedan. 5 Koltuk,Gri (Gümüş),1197 cc,105 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,685.000 TL
30 Ekim 2023,Audi,A3,A3 Sportback 35 TFSI Dynamic,2020,32.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498 cc,150 hp,4.9 lt,1 boyalı,Tramer tutarı yok,220 km/s,1.435.000 TL
30 Ekim 2023,Opel,Omega,2.5 CD,1997,374.000 km,Düz,LPG & Benzin,Station wagon,Gri (titanyum),2498 cc,170 hp,11 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,215 km/s,299.000 TL
30 Ekim 2023,Fiat,Egea,1.4 Fire Urban Plus,2017,88.000 km,Düz,Benzin,Hatchback/3,Mavi,1368 cc,95 hp,,3 değişen. 2 boyalı,Tramer tutarı Belirtilmemiş,,645.000 TL
30 Ekim 2023,Bentley,Continental,GTC,2012,19.000 km,Otomatik,Benzin,-,Mavi,5998 cc,560 hp,17.1 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,312 km/s,12.750.000 TL
30 Ekim 2023,Toyota,Corolla,1.4 D-4D Elegant,2011,315.000 km,Düz,Dizel,Sedan,Kırmızı,1364 cc,90 hp,4.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,550.000 TL
30 Ekim 2023,Volkswagen,Golf,1.6 TDi Allstar,2016,172.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,110 hp,4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,195 km/s,999.750 TL
30 Ekim 2023,Renault,Symbol,1.5 dCi Touch,2013,405.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1461 cc,90 hp,3.9 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,167 km/s,410.000 TL
30 Ekim 2023,Citroen,C4,1.6 e-HDi Confort Plus,2012,208.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1560 cc,114 hp,4.2 lt,4 boyalı,Tramer  7.625 TL,190 km/s,594.900 TL                                                                                       584.900 TL
